step,x,y,z
  0, 0.000000, 0.000000, 0.999264
  1, 0.000000, 0.000000, 0.997548
  2, 0.000000, 0.000000, 0.994850
  3, 0.000000, 0.000000, 0.991171
  4, 0.000000, 0.000000, 0.986511
  5, 0.000000, 0.000000, 0.980870
  6, 0.000000, 0.000000, 0.974249
  7, 0.000000, 0.000000, 0.966646
  8, 0.000000, 0.000000, 0.958062
  9, 0.000000, 0.000000, 0.948497
 10, 0.000000, 0.000000, 0.937952
 11, 0.000000, 0.000000, 0.926425
 12, 0.000000, 0.000000, 0.913917
 13, 0.000000, 0.000000, 0.900428
 14, 0.000000, 0.000000, 0.885959
 15, 0.000000, 0.000000, 0.870508
 16, 0.000000, 0.000000, 0.854076
 17, 0.000000, 0.000000, 0.836663
 18, 0.000000, 0.000000, 0.818270
 19, 0.000000, 0.000000, 0.798895
 20, 0.000000, 0.000000, 0.778539
 21, 0.000000, 0.000000, 0.757203
 22, 0.000000, 0.000000, 0.734885
 23, 0.000000, 0.000000, 0.711586
 24, 0.000000, 0.000000, 0.687306
 25, 0.000000, 0.000000, 0.662045
 26, 0.000000, 0.000000, 0.635804
 27, 0.000000, 0.000000, 0.608581
 28, 0.000000, 0.000000, 0.580377
 29, 0.000000, 0.000000, 0.551192
 30, 0.000000, 0.000000, 0.521027
 31, 0.000000, 0.000000, 0.489880
 32, 0.000000, 0.000000, 0.457752
 33, 0.000000, 0.000000, 0.424643
 34, 0.000000, 0.000000, 0.390554
 35, 0.000000, 0.000000, 0.355483
 36, 0.000000, 0.000000, 0.319431
 37, 0.000000, 0.000000, 0.282398
 38, 0.000000, 0.000000, 0.244385
 39, 0.000000, 0.000000, 0.205390
 40, 0.000000, 0.000000, 0.189131
 41, 0.000000, 0.000000, 0.195609
 42, 0.000000, 0.000000, 0.201105
 43, 0.000000, 0.000000, 0.205621
 44, 0.000000, 0.000000, 0.209155
 45, 0.000000, 0.000000, 0.211708
 46, 0.000000, 0.000000, 0.213281
 47, 0.000000, 0.000000, 0.213872
 48, 0.000000, 0.000000, 0.213483
 49, 0.000000, 0.000000, 0.212112
 50, 0.000000, 0.000000, 0.209761
 51, 0.000000, 0.000000, 0.206428
 52, 0.000000, 0.000000, 0.202115
 53, 0.000000, 0.000000, 0.199577
 54, 0.000000, 0.000000, 0.199716
 55, 0.000000, 0.000000, 0.199794
 56, 0.000000, 0.000000, 0.199837
